Jaar,Maand,Dag,DagNaam,Uur,Minuut,Type,Persoon,Psalmen
2022,August,18,Thursday,10,30,Rouwdienst Mevr. de Heer,Ds. Lugthart,Onbekend
2022,August,7,Sunday,18,30,Avonddienst,Ds. Boon uit Veenendaal,"Vz: Psalm 101 vers 1 en 2
Psalm 17 vers 3 en 4
Psalm 36 vers 2
Schriftlezing: Jesaja 25 vers 1 t/m 4 en Psalm 121
Collectes:
Psalm 121 vers 1 en 2
Preek: “De HERE is uw Bewaarder”
Psalm 121 vers 3 en 4
Psalm 91 vers 1 en 5"
2022,August,7,Sunday,10,00,Ochtenddienst,Ds. Catsburg uit Goes,"Vz: Psalm 100 vers 1 en 2
Psalm 118 vers 12 en 14
Psalm 81 vers 4 en 7
Schriftlezing: 2 Koningen 2 vers 6 t/m 15 en Johannes 14 vers 15 t/m 18
Collectes:
Psalm 74 vers 2 en 12 en 15
Preek: 2 koningen 2 vers 9b en 14
Psalm 66 vers 3 en 10
Psalm 84 vers 3 en 6"
2022,July,31,Sunday,18,30,Avonddienst,Prop. van Eijsden uit Driebruggen,"Vz: Psalm 99 vers 1 en 8
Psalm 46 vers 1 en 4
Psalm 23 vers 1 en 2
Schriftlezing: Handelingen 4 vers 32 t/m 5 vers 11
Collectes:
Psalm 101 vers 2 en 3 en 7
Preek:
Psalm 139 vers 1 en 14
Psalm 26 vers 2 en 8"
2022,July,31,Sunday,10,00,Ochtenddienst,Prop. Blok uit Randwijk,"Vz: Psalm 98 vers 3
Psalm 24 vers 1 en 2 en 3
Psalm 51 vers 4
Schriftlezing: Jeremia 17 vers 1 t/m 10 en Markus 7 vers 14 t/m 23
Collectes:
Psalm 14 vers 2 en 3 en 7
Preek: Markus 7 vers 15
Psalm 51 vers 5
Psalm 86 vers 6"
2022,July,25,Monday,14,00,Rouwdienst Mevr. Verduijn,Ds. de Graaf uit Nieuwerbrug,Onbekend
2022,July,24,Sunday,18,30,Avonddienst,Ds. ter Maten uit Kesteren,"Vz: Psalm 97 vers 1
Psalm 119 vers 1 en 36
Psalm 31 vers 19
Schriftlezing: Jakobus 1 vers 1 t/m 25
Collectes:
Psalm 43 vers 1 en 2 en 3
Preek: “De zegen van de geloofsbeproeving”.
Psalm 66 vers 4 en 5
Psalm 21 vers 3"
2022,July,24,Sunday,10,00,Ochtenddienst,Ds. van der Ziel uit Waarder,"Vz: Psalm 96 vers 1 en 9
Psalm 99 vers 8 en 9
Gezang 1 vers 9
Schriftlezing: 2 Korinthe 6 vers 14 t/m 7 vers 1
Collectes:
Psalm 113 vers 3 en 4
Preek: “De roeping en opdracht tot heilig leven”.
Psalm 86 vers 6
Psalm 119 vers 87"
2022,July,17,Sunday,18,30,Avonddienst,Ds. Veerman uit Katwijk aan Zee,"Vz:
Psalm 66 vers 7 en 8
Psalm 141 vers 2
Schriftlezing: Genesis 8
Collectes:
Psalm 20 vers 2 en 5
Preek: Genesis 8 vers 20 t/m 22
Psalm 40 vers 3 en 4
Psalm 139 vers 14"
2022,July,17,Sunday,10,00,Ochtenddienst ( Sluiting VBW ),Ds. Lugthart,"Vz: Psalm 121 vers 4
Psalm 136 vers 1 en 2 en 23 en 26
Psalm 25 vers 2
Schriftlezing: Johannes 20 vers 11 t/m 18
Collectes:
Themalied VBW: God heeft een plan met je leven
Preek: “Alles andersom”.
Psalm 118 vers 8 en 11
Psalm 75 vers 1"
2022,July,10,Sunday,18,30,Avonddienst,Prof. van den Belt uit Woudenberg,"Vz: Psalm 94 vers 8
Psalm 95 vers 1 en 3
Psalm 106 vers 3
Schriftlezing: Genesis 28 vers 10 t/m 22 en 1 Koningen 12 vers 26 t/m 13 vers 5
Collectes:
Psalm 103 vers 8 en 9
Preek: Genesis 28 vers 18
Psalm 146 vers 3 en 4
Psalm 118 vers 11"
2022,July,10,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 121 vers 1 en 2
Psalm 108 vers 2 en 7
Psalm 86 vers 2 en 9
Schriftlezing: Exodus 6 vers 1 t/m 12 en 27 vers 7 t/m 13
Collectes:
Psalm 105 vers 14 en 15
Preek: “De verharding van de farao”.
Psalm 95 vers 2 en 4
Psalm 65 vers 4 en 5"
2022,July,3,Sunday,18,30,Avonddienst,Ds. Lugthart,"Vz: Psalm 93 vers 1 en 4
Psalm 95 vers 1 en 4
Psalm 77 vers 7 en 8
Schriftlezing: Genesis 15 vers 1 t/m 6 en Johannes 3 vers 10 t/m 18
Collectes:
Psalm 31 vers 1 en 6
Zondag 7
Preek: “Ik geloof”.
Psalm 73 vers 13 en 14
Psalm 27 vers 7"
2022,July,3,Sunday,10,00,Ochtenddienst,Ds. de Graaf uit Nieuwerbrug,"VZ: Psalm 146 vers 3
Psalm 84 vers 2 en 6
Psalm 119 vers 18
Schriftlezing: Exodus 3 vers 1 t/m 8, Mattheüs 9 vers 35 t/m 38 en Lukas 10 vers 25 t/m 37
Collectes:
Psalm 146 vers 5 en 6 en 7
Psalm 133
Psalm 103 vers 2 en 7"
2022,July,1,Friday,15,00,Huwelijksdienst Jurjen en Judith,Ds. Lugthart,Onbekend
2022,June,26,Sunday,18,30,Avonddienst,Ds. Lugthart,"Vz: Pslalm 92 vers 1
Psalm 89 vers 1
Psalm 89 vers 7
Schriftlezing: 2 Samuel 16 vers 1 t/m 4 en 2 Samuël 19 vers 16 t/m 30
Collectes:
Psalm 24 vers 4 en 5
Preek: Beproefde trouw
Psalm 72 vers 7
Psalm 118 vers 13 en 14"
2022,June,26,Sunday,9,30,Ochtenddienst ( Viering Heilig Avonmaal,Ds. Lugthart,"Vz: Psalm 146 vers 1
Psalm 63 vers 1
Psalm 63 vers 5
Schriftlezing: 2 Samuël 5 vers 6 t/m 10 en Samuël 9
Collectes:
Psalm 146 vers 5 en 6
Preek: Eten aan de tafel van de koning
Psalm 51 vers 9
Avondmaalsformulier
Psalm 23 vers 1 en 3 ( terwijl de tafel wordt voorbereid )
Psalm 34 ( Tijdens de viering van het Heilig Avondmaal )
Psalm 33 vers 10"
2022,June,19,Sunday,18,30,Avonddienst,Prop. de Mots uit Ridderkerk,"Vz: Psalm 91 vers 1
Psalm 22 vers 4 en 14
Psalm 104 vers 17
Schriftlezing: Lukas 24 vers 36 t/m 49
Collectes:
Gezang 4 vers 1 en 2
Preek: Jezus zending die de Schriften vervuld
Psalm 87 vers 1 en 2 en 3 en 4
Psalm 86 vers 5 en 6"
2022,June,19,Sunday,10,00,Ochtenddienst,Ds. Lugthart,Onbekend
2022,June,15,Wednesday,14,00,Huwelijksdienst Lydia en Jaap,Ds. Lugthart,Onbekend
2022,June,12,Sunday,18,30,Avonddienst,Ds. Lugthart,"Vz: Psalm 90 vers 1
Psalm 33 vers 2 en 3
Psalm 33 vers 11
Schriftlezing: Markus 1 vers 9 t/m 11 en Johannes 17
Collectes
Psalm 139 vers 8 en 10
H.C. Zondag 8
Preek: 1 × 1 × 1 = 3
Psalm 145 vers 1 en 2
Avondzang vers 1 en 2 en 7"
2022,June,12,Sunday,10,00,Ochtenddienst,Ds. ten Brinke uit Oud - Beijerland,"Vz: Psalm 21 vers 1 en 5
Psalm 45 vers 1
Gezang 5 vers 8 en 9
Schriftlezing: Romeinen 8 vers 1 t/m 9 en Galaten 5 vers 16 t/m 25
Collectes
Psalm 51 vers 6
Preek: romeinen 8 vers 1
Psalm 25 vers 2 en 6
Psalm 119 vers 47"
2022,June,6,Monday,9,30,Appéldienst tweede Pinksterdag,Ds. Lugthart,"Lied: Heer, Uw licht en Uw liefde schijnen
Psalm 45 vers 1 en 2
Schriftlezing: Handelingen 2 vers 1 t/m 13
Collectes:
Lied: Een rivier vol van vreugde.
Lied: Er komen stromen van zegen.
Meditatie: De blijde boodschap in je eigen taal.
Lied: Samen in de naam van Jezus.
Psalm 150 vers 1 en 2
Lied: Zegen ons, Algoede"
2022,June,5,Sunday,18,30,Avonddienst,Ds. Vonk Noordergraaf uit Uddel,"Vz:
Psalm 67 vers 3
Psalm 29 vers 1
Schriftlezing: Joël 2 vers 28 t/m 32 en Handelingen 2 vers 14 t/m 21
Collectes:
Psalm 67 vers 1 en 2
Preek
Psalm 118 vers 12
Psalm 108 vers 1 en 2"
2022,June,5,Sunday,9,45,Ochtenddienst ( Pinksteren ) ( Doopdienst ),Ds. Lugthart,"Zingen voor de dienst
Psalm 118 vers 12 en 14
Psalm 119 vers 9
Doopformulier
Psalm 105 vers 5
Bediening doop
Psalm 134 vers 3
Schriftlezing: Handelingen 2 vers 1 t/m 21 en 37 t/m 41
Op toonhoogte 514 ( Veilig in Jezus armen )
Preek: “Een veelbelovende belofte”
Psalm 87 vers 1 en 2 en 3
Psalm 75 vers 1"
2022,May,29,Sunday,18,30,Avonddienst,Ds. Russcher uit Veenendaal,"Vz: Psalm 88 vers 1
Psalm 63 vers 1 en 2
Psalm 75 vers 1
Schriftlezing: Kolossenzen 3 vers 1 t/m 17
Collectes:
Psalm 27 vers 2 en 5
Preek: ""Zoek het hogerop! "".
Psalm 73 vers 13
Psalm 138 vers 1 en 4"
2022,May,26,Thursday,9,30,Ochtenddienst ( Hemelvaart ),Ds. Lugthart,Onbekend
